job_id,node,rank,n_gpus,gpu_name,seq_range,fasta_file,seq_len,phase,cache_warm,num_samples,batch_size,wall_time_s,peak_vram_mb,status
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000010_00108.fasta,58,warmup,False,1,10,9.31,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000010_00108.fasta,58,sample,True,100,10,29.08,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000010_00108.fasta,58,sample,True,100,20,26.34,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000010_00108.fasta,58,sample,True,100,50,28.15,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000047567_01789.fasta,87,warmup,False,1,10,9.62,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000047567_01789.fasta,87,sample,True,100,10,37.74,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000047567_01789.fasta,87,sample,True,100,20,38.39,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000047567_01789.fasta,87,sample,True,100,50,35.53,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000162764_02092.fasta,75,warmup,False,1,10,8.82,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000162764_02092.fasta,75,sample,True,100,10,35.96,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000162764_02092.fasta,75,sample,True,100,20,35.86,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000162764_02092.fasta,75,sample,True,100,50,37.19,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000277069_01504.fasta,69,warmup,False,1,10,9.59,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000277069_01504.fasta,69,sample,True,100,10,29.63,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000277069_01504.fasta,69,sample,True,100,20,28.16,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000277069_01504.fasta,69,sample,True,100,50,28.26,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000011017_02986.fasta,151,warmup,False,1,10,8.17,0.0,ERROR: Invalid suffix '_unphysical.xtc'
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000140052_01095.fasta,279,warmup,False,1,10,11.27,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000140052_01095.fasta,279,sample,True,100,10,73.4,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000140052_01095.fasta,279,sample,True,100,20,71.78,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000140052_01095.fasta,279,sample,True,100,50,65.12,0.0,ok
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,101-500aa,MGYG000259345_01442.fasta,146,warmup,False,1,10,6.9,0.0,ERROR: Invalid suffix '_unphysical.xtc'
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000006522_02226.fasta,575,warmup,False,1,10,5.62,0.0,ERROR: range() arg 3 must not be zero
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000135045_00151.fasta,769,warmup,False,1,10,5.68,0.0,ERROR: range() arg 3 must not be zero
2631560,"t[0007,0017-0019]",0,1,NVIDIA A100-SXM4-40GB,501-1000aa,MGYG000260038_00905.fasta,538,warmup,False,1,10,5.56,0.0,ERROR: range() arg 3 must not be zero
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000609_01331.fasta,69,warmup,False,1,10,9.31,0.0,ok
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000609_01331.fasta,69,sample,True,100,10,27.08,0.0,ok
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000609_01331.fasta,69,sample,True,100,20,27.44,0.0,ok
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000000609_01331.fasta,69,sample,True,100,50,28.08,0.0,ok
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000049005_01050.fasta,91,warmup,False,1,10,8.58,0.0,ERROR: Invalid suffix '_unphysical.xtc'
2631560,"t[0007,0017-0019]",1,1,NVIDIA A100-SXM4-40GB,50-100aa,MGYG000169671_00821.fasta,59,warmup,False,1,10,8.81,0.0,ok
